node_id,x,y,square,nearest_service_point,population,assigned_population,assigned_square,adjusted_Male,adjusted_Female,adjusted_Age0-14,adjusted_Age15-24,adjusted_Age25-44,adjusted_Age45-64,adjusted_Age65+,adjusted_Households,adjusted_Single-person households,adjusted_Multi-person households w/o kids,adjusted_Single parent households,adjusted_Two-parent households,adjusted_Houses,adjusted_Vacant houses,Home ownership %,Rental %,Social housing %,Avg. home value,Urbanization index,Median household income,Percentage low income households,Percentage high income households,Distance nearest supermarket in km,Male.prop,Female.prop,Age0-14.prop,Age15-24.prop,Age25-44.prop,Age45-64.prop,Age65+.prop,Single-person households.prop,Multi-person households w/o kids.prop,Single parent households.prop,Two-parent households.prop,hold_house_ratio,pop_house_ratio,pop_hold_ratio,Income_median,adjusted_total_deliveries,adjusted_total_pickups,adjusted_total_demand,adjusted_pickup_ratio,average_distance
6067,21586.0,61920.0,,5706,,11.891665706936127,E1735N3190,5.498297047293048,6.3933686596430785,1.1188395154375388,0.9590052989464618,2.1417785009804313,3.324551703014401,4.3474906885572935,6.681070249327018,3.2925848597161855,1.949977441191139,0.5114694927714463,0.8950716123500311,6.553202876134156,0.06393368659643078,20.0,80.0,770.0,156.0,2.0,20-40 below middle,72.0,4.0,"0,4",46.236559139784944,53.76344086021505,9.408602150537634,8.064516129032258,18.010752688172044,27.956989247311824,36.55913978494624,49.2822966507177,29.1866028708134,7.655502392344498,13.397129186602871,1.0195121951219512,1.8146341463414637,1.7799043062200957,30.0,64.49236865776575,92.14122912277605,156.6335977805418,0.5882596737123695,313.2541683173391
6067,21586.0,61920.0,,5706,,11.891665706936127,E1735N3190,5.498297047293048,6.3933686596430785,1.1188395154375388,0.9590052989464618,2.1417785009804313,3.324551703014401,4.3474906885572935,6.681070249327018,3.2925848597161855,1.949977441191139,0.5114694927714463,0.8950716123500311,6.553202876134156,0.06393368659643078,20.0,80.0,770.0,156.0,2.0,20-40 below middle,72.0,4.0,"0,4",46.236559139784944,53.76344086021505,9.408602150537634,8.064516129032258,18.010752688172044,27.956989247311824,36.55913978494624,49.2822966507177,29.1866028708134,7.655502392344498,13.397129186602871,1.0195121951219512,1.8146341463414637,1.7799043062200957,30.0,54.30813196849555,111.10798716003902,165.41611912853458,0.6716877880184331,313.2541683173391
6070,52104.0,33530.0,E1760N3160,4387,390.0,15.786242053659103,E1760N3160,7.285957870919586,8.500284182739517,2.631040342276517,1.6191017490932413,2.226264905003207,5.666856121826345,3.8453666540964484,6.476406996372965,1.4167140304565862,2.631040342276517,0.20238771863665517,2.226264905003207,6.476406996372965,0.20238771863665517,100.0,0.0,0.0,606.0,3.0,80-100 high,13.0,57.0,"0,6",46.15384615384615,53.84615384615385,16.666666666666664,10.256410256410255,14.102564102564102,35.8974358974359,24.35897435897436,21.875,40.625,3.125,34.375,1.0,2.4375,2.4375,90.0,53.45121571362406,85.50669273401718,138.95790844764124,0.6153423989267638,340.1192712036311
6071,51204.0,33726.0,E1760N3160,4387,390.0,13.847688383261389,E1760N3160,6.391240792274487,7.456447590986901,2.307948063876898,1.4202757316165526,1.9528791309727598,4.970965060657934,3.3731548625893124,5.6811029264662105,1.2427412651644836,2.307948063876898,0.17753446645206908,1.9528791309727598,5.6811029264662105,0.17753446645206908,100.0,0.0,0.0,606.0,3.0,80-100 high,13.0,57.0,"0,6",46.15384615384615,53.84615384615385,16.666666666666664,10.256410256410255,14.102564102564102,35.8974358974359,24.35897435897436,21.875,40.625,3.125,34.375,1.0,2.4375,2.4375,90.0,46.88739577112874,75.00645382474003,121.89384959586877,0.6153423989267639,340.1192712036311
6072,51577.0,34416.0,E1760N3160,4387,390.0,10.676046660188964,E1760N3160,4.927406150856445,5.748640509332519,1.779341110031494,1.0949791446347654,1.5055963238728025,3.832427006221679,2.600575468507568,4.379916578539062,0.9581067515554198,1.779341110031494,0.13687239307934568,1.5055963238728025,4.379916578539062,0.13687239307934568,100.0,0.0,0.0,606.0,3.0,80-100 high,13.0,57.0,"0,6",46.15384615384615,53.84615384615385,16.666666666666664,10.256410256410255,14.102564102564102,35.8974358974359,24.35897435897436,21.875,40.625,3.125,34.375,1.0,2.4375,2.4375,90.0,36.14841778447235,57.827153434228045,93.9755712187004,0.6153423989267638,340.1192712036311
6073,19401.0,42089.0,E1735N3170,2075,1480.0,26.5399588669986,E1735N3170,12.821669317502701,13.718289549495896,3.048508788776866,3.6761429511721033,6.097017577553732,7.621271971942165,6.007355554354413,14.435585735090454,6.724651739948969,3.6761429511721033,1.4345923711891135,2.4208746263816288,13.718289549495896,0.3586480927972784,50.0,50.0,285.0,165.0,2.0,20-60 below middle to middle,50.0,10.0,"0,7",48.310810810810814,51.68918918918919,11.486486486486488,13.85135135135135,22.972972972972972,28.716216216216218,22.635135135135133,46.58385093167702,25.465838509316768,9.937888198757763,16.77018633540373,1.0522875816993464,1.934640522875817,1.8385093167701865,40.0,137.61068535155138,179.80557790171758,317.416263253269,0.5664661793282131,450.2940983033933
6079,51240.0,34561.0,E1760N3160,4387,390.0,7.085139235727116,E1760N3160,3.2700642626432845,3.815074973083832,1.1808565392878527,0.7266809472540632,0.9991863024743369,2.5433833153892214,1.7258672497284002,2.9067237890162527,0.6358458288473053,1.1808565392878527,0.0908351184067579,0.9991863024743369,2.9067237890162527,0.0908351184067579,100.0,0.0,0.0,606.0,3.0,80-100 high,13.0,57.0,"0,6",46.15384615384615,53.84615384615385,16.666666666666664,10.256410256410255,14.102564102564102,35.8974358974359,24.35897435897436,21.875,40.625,3.125,34.375,1.0,2.4375,2.4375,90.0,23.98983268865628,38.37688675669475,62.36671944535103,0.6153423989267638,340.1192712036311
6106,17281.0,45068.0,E1735N3175,2075,855.0,20.07827641406228,E1735N3175,9.158512048519636,11.03718118667751,3.639921455180881,1.9960859592927411,4.696672845394685,5.283756951069021,4.579256024259818,9.510762511924238,3.405087812911147,2.46575324383221,1.6438354958881398,1.878669138157874,9.275928869654503,0.11741682113486712,30.0,70.0,250.0,160.0,2.0,20-40 below middle,63.0,5.0,"0,9",45.614035087719294,54.97076023391813,18.128654970760238,9.941520467836256,23.391812865497077,26.31578947368421,22.807017543859647,35.80246913580247,25.925925925925924,17.28395061728395,19.753086419753085,1.0253164556962024,2.1645569620253164,2.111111111111111,30.0,101.3586080105237,143.83316783329497,245.19177584381868,0.5866149765354008,450.2940983033933
6107,17915.0,44264.0,E1735N3170,2075,1480.0,4.15766269725594,E1735N3170,2.008600559822971,2.149062137432969,0.4775693638739931,0.5758924682009917,0.9551387277479862,1.193923409684983,0.9410925699869864,2.2614313995209674,1.053461832074985,0.5758924682009917,0.22473852417599677,0.37924625954699454,2.149062137432969,0.05618463104399919,50.0,50.0,285.0,165.0,2.0,20-60 below middle to middle,50.0,10.0,"0,7",48.310810810810814,51.68918918918919,11.486486486486488,13.85135135135135,22.972972972972972,28.716216216216218,22.635135135135133,46.58385093167702,25.465838509316768,9.937888198757763,16.77018633540373,1.0522875816993464,1.934640522875817,1.8385093167701865,40.0,21.557637526763536,28.16775066407859,49.725388190842125,0.5664661793282132,450.2940983033933
6118,86807.0,30932.0,E1785N3155,931,1865.0,11.70997814322324,E1785N3155,5.776503963413074,5.933474179810168,1.5697021639709439,1.2243676878973362,2.9824341115447934,3.610314977133171,2.323159202676997,5.745109920133655,2.2289770728387404,1.6952783370886193,0.533698735750121,1.287155774456174,5.5881397037365605,0.06278808655883776,40.0,60.0,395.0,177.0,2.0,20-60 below middle to middle,47.0,11.0,"0,7",49.32975871313673,50.67024128686327,13.404825737265416,10.455764075067025,25.46916890080429,30.83109919571045,19.839142091152816,38.79781420765027,29.508196721311474,9.289617486338798,22.40437158469945,1.0280898876404494,2.095505617977528,2.0382513661202184,40.0,38.37352535611554,96.14326327831172,134.51678863442726,0.7147305868236101,272.5022472320267
